Driver,LapNumber,Compound,TyreLife,Avg_Speed_mps,Avg_Throttle,Brake_Aggression,MeanAbs_Jerk_Long,MeanAbs_Jerk_Lat,Max_Lateral_g,Max_Longitudinal_g,Energy_Index,Year,Event,SessionType,PC1,PC2,PC3
7,23,HARD,2.0,58.307279487776384,68.27694926313855,0.3802029302827274,1747.5410951090305,262.5867482376639,82.65472007818845,135.28387437277163,21393302.87117118,2021,Abu_Dhabi_Grand_Prix,R,2.1557382748998464,0.204354350385668,-1.546213116576981
55,51,MEDIUM,9.0,60.14949235939434,69.77435153327589,0.3981579104628279,3608.089488623159,497.0036214665439,90.09389931670972,463.60439577509857,37892038.19471247,2022,French_Grand_Prix,R,1.084939352649078,0.0251003484985656,1.7661212902506658
14,70,HARD,26.0,56.28592848943613,65.1824719424456,0.4062256116101169,3496.5131822539547,324.5167198552645,65.6747885034593,521.4362777381716,27877915.31111275,2024,Canadian_Grand_Prix,R,0.3277637798264395,-1.564727221576305,-0.3195189097032241
21,49,HARD,32.0,65.24756918429883,77.36091987940738,0.3355289862689347,4310.9754837772125,614.054103877085,127.51677203610028,734.0608212866512,49131217.83954582,2023,Saudi_Arabian_Grand_Prix,R,-2.2475053799955003,-1.0576529970680095,1.7040876973328107
27,36,MEDIUM,3.0,58.989226917402576,64.27915563789327,0.3890897754645467,3804.9474136809336,492.81713862438943,106.55390501718011,591.1094400497526,37433331.23423581,2023,Miami_Grand_Prix,R,-3.214674960547803,0.2808576777461429,1.1730809706024024
31,53,SOFT,5.0,55.91708250369843,67.03189234359051,0.4190421664286927,3767.8162600417886,573.8650146397546,128.12340893018344,312.3003548633844,38519625.08803769,2024,United_States_Grand_Prix,R,0.4046696119252969,-2.017423041744952,-0.8551954600091274
21,57,HARD,42.0,58.42099720367671,65.79018402822997,0.3881015429568668,3433.978103188738,472.4276960599349,80.82244749978108,284.34408028885474,35129328.222116515,2023,Miami_Grand_Prix,R,-0.4483271260633464,-2.8600322146598285,-0.6503058005407316
31,70,HARD,34.0,61.84399961925485,71.806183410835,0.3754982356788546,1727.0998097329978,216.84403404978045,74.35709948579469,112.10557571616016,16519514.357914694,2021,Styrian_Grand_Prix,R,-0.4192154936799577,-0.546996768035139,1.2800922621254582
14,57,MEDIUM,4.0,64.61948442336899,78.36071289464965,0.3416507101550534,4101.19333474901,529.7018355906076,108.6287528539306,303.52941113555323,37434014.640012965,2022,Australian_Grand_Prix,R,4.481774109042342,2.488084270042596,0.6301602519632509
81,69,INTERMEDIATE,39.0,51.519690128698336,54.59813236422854,0.3972720644941889,3222.9653179460206,408.76158248517015,55.32773367562031,254.46247480865,24981208.701657,2024,São_Paulo_Grand_Prix,R,2.3650083676383318,-0.8625940037313204,-0.4861261066343826
22,48,MEDIUM,19.0,50.82764524406202,54.370031218837696,0.4114628590784133,3230.3216129670845,301.45020977385894,53.81736620979057,780.044747817752,26952483.227244515,2022,Mexico_City_Grand_Prix,R,-2.286106703804429,-1.896027395036448,-0.4443574975364054
10,35,MEDIUM,2.0,58.94623807170508,69.44845728746905,0.3844338768101065,1857.6366377951465,314.04610152778906,65.88307556691845,126.3495671752323,25825779.50908989,2021,Russian_Grand_Prix,R,2.619015946805189,-0.6082736663482325,1.422698011502834
11,49,MEDIUM,11.0,62.89599441594782,75.13018878340563,0.3359724062619448,1675.417430578555,390.9845753314154,91.53442196004204,113.22316730127584,22486649.77312649,2021,Qatar_Grand_Prix,R,-0.1070943718026138,-0.5328299893259345,-1.2209072390815514
6,37,HARD,20.0,54.06028030527439,62.39363677028202,0.4174117592286132,3376.5068586139137,338.1260294068096,113.82367965637047,245.6148953807443,36207068.10689582,2022,Azerbaijan_Grand_Prix,R,-2.483934414838413,1.0934443789884285,0.8300267646207063
27,7,MEDIUM,10.0,60.46595418941413,68.13619724933984,0.3935857823035998,3639.778617367586,338.53380347815806,64.1224736707269,247.0702386315588,26396309.93686314,2023,Austrian_Grand_Prix,R,0.0692029821730259,1.099390525803274,-2.3117122462550794
6,51,SOFT,9.0,54.33718694880128,61.0506964571121,0.4248459261316046,3772.640469468337,337.0010126645886,220.13527430036467,582.1873829645758,35926935.53648026,2022,Bahrain_Grand_Prix,R,2.829358124396255,3.2505929776053613,-0.4922671327804382
4,53,HARD,52.0,57.40224771551762,64.2860987905414,0.3986349352751978,1662.045662424809,268.73777589079623,59.00803122811406,117.71080788692046,18873131.75014988,2021,São_Paulo_Grand_Prix,R,-2.535352890126956,-0.5723142410041819,-2.053456041165929
63,38,MEDIUM,9.0,51.18273145886462,53.153111213251854,0.4085147028240273,2755.6173939964256,319.49108646374094,60.20082623649591,303.124658588081,22597531.067207266,2023,Mexico_City_Grand_Prix,R,0.9043911647734374,0.5882772440841062,1.3448502819596242
63,49,MEDIUM,8.0,62.01796058449878,71.41190202901736,0.3774068360437677,3740.59967365794,380.2422698674575,96.41668833515794,224.7733004896507,26466846.19695484,2023,Austrian_Grand_Prix,R,-3.0880445752600933,-1.1844049006823292,-1.0028732825189088
10,67,HARD,34.0,56.42027275524698,68.93875016870427,0.3825756986693388,3739.387455830571,329.4433902865577,71.19065873078239,697.2210481118835,29155042.586017285,2023,Canadian_Grand_Prix,R,1.7168602777019422,2.7993717807882645,0.6251315795110444
4,56,HARD,21.0,65.18076081390164,76.13207817170479,0.3309197756774085,4076.0608522131297,612.1475257717286,124.26851383537318,234.9688114994924,39452248.14286944,2024,Qatar_Grand_Prix,R,-1.340275705987822,-2.092213718983321,2.0502899224254727
6,50,HARD,32.0,58.72631310672788,66.0745375088593,0.4168537488678119,1755.0573685100546,300.2994478265327,79.80606852968643,167.72953936717568,23856617.151268817,2021,French_Grand_Prix,R,0.2369671121777823,-0.6057809540660088,-1.5077518450852436
21,50,SOFT,5.0,64.42063749923022,78.85679306761371,0.323075247684438,3781.529275167763,482.1231584513015,94.10159143284976,223.43772097867475,36241429.439587645,2023,Australian_Grand_Prix,R,-0.3058501672408284,-2.4408588090253915,-0.9488866001584731
10,48,MEDIUM,4.0,62.19849250897457,73.06655000975715,0.3740238944414127,3705.640130904543,376.7075989864218,79.27716844654103,250.0108100605737,28430528.03023455,2023,Austrian_Grand_Prix,R,-2.327759037335451,0.3958228246195901,1.1190631623193248
77,52,MEDIUM,20.0,68.71675828339713,78.28993315149128,0.3367542387384915,4152.420095889441,358.3141738112641,72.7013257089639,527.3183958635959,40026022.080094405,2024,Italian_Grand_Prix,R,-0.1100287025417412,-1.750766863018456,1.9520565074823928
43,21,INTERMEDIATE,21.0,50.25326232697181,50.3226773540148,0.4149247335983895,3089.82964307922,343.9679996458194,54.69988124463233,239.5188818161976,24711852.629183307,2024,São_Paulo_Grand_Prix,R,-0.2387875320323196,-0.453384346345602,-0.4013073176800765
10,51,HARD,21.0,68.57147045755353,77.52915402724099,0.3540958511803924,4236.186438572967,295.0691081750898,65.0272617769606,397.1692529276135,41462645.499952525,2024,Italian_Grand_Prix,R,2.7800394667654134,1.564466354231535,-2.240078900999823
