Driver,LapNumber,Compound,Year,Event,SessionType,LapTimeSeconds,Energy_Index,MeanAbs_Jerk_Long,MeanAbs_Jerk_Lat,Avg_Speed_mps,Brake_Aggression,Max_Lateral_g,Max_Longitudinal_g,TyreLife,PC1,PC2,PC3
27,43,SOFT,2024,British_Grand_Prix,R,89.836,41992503.41394536,3715.5669758811705,522.8651162626408,64.97101791379582,0.3414793683789222,79.57163563774563,263.5414900985923,7.0,1.7792453979485587,0.10021412854005939,1.8466882462385454
31,46,MEDIUM,2024,British_Grand_Prix,R,90.875,41467218.76063561,3862.5544599747536,557.4499122222079,64.02421214581767,0.3847469577844055,84.3953628275536,256.57133088557686,8.0,1.6126604436197838,-0.3214202965315226,0.77552205899463
44,45,SOFT,2024,British_Grand_Prix,R,89.438,48562012.153681226,4493.803667175637,634.3037528687755,64.98629352984157,0.3385097920402194,147.17196380597437,654.5481333839343,8.0,3.972059612968961,0.025558118092874046,1.492009335088808
55,52,SOFT,2024,British_Grand_Prix,R,88.293,44527123.019639626,3961.1020906311,580.8000285821228,66.07440902024351,0.3476298701292978,180.350394491499,364.3526712794375,5.0,3.009076774851276,0.04546679873089648,1.7540986999628885
63,3,MEDIUM,2024,British_Grand_Prix,R,91.298,42337313.98130614,3773.70629906676,506.3992384734824,63.73745920288636,0.3529720472722042,74.72163100309163,231.98643328300903,3.0,1.4743914979773092,-0.09289359607416404,1.3250574317761874
77,44,SOFT,2024,British_Grand_Prix,R,91.277,47652298.06964517,4265.19567248153,559.776292574007,63.75399371883627,0.3529720472722042,245.6113134037789,678.9187969720933,7.0,4.156717475737563,-0.14416537639105662,1.1414211817757973
81,51,MEDIUM,2024,British_Grand_Prix,R,88.748,45849620.81060908,4115.483898977514,597.4548812704077,65.51868421479665,0.3384167318502941,106.83796678765336,417.929803016696,13.0,2.690869910307747,0.2846101805850432,1.2678886265746732
1,42,SOFT,2023,British_Grand_Prix,R,90.275,42512263.64199422,3977.903134001356,539.3161008330283,64.2989181557505,0.340838713792789,117.40872589891322,269.9243076896698,12.0,2.1912928617221414,-0.05896941788005451,2.471642837857836
2,42,SOFT,2023,British_Grand_Prix,R,91.699,41436482.88033404,3849.215119268547,507.1689818380031,63.35698965747807,0.3680964448215068,80.55421252764155,270.968392565706,13.0,1.6282959706585334,-0.34719872853842726,2.039083619941765
4,43,HARD,2023,British_Grand_Prix,R,90.543,42596514.25985405,3963.138025455885,494.4728090229343,64.12423690598214,0.3450580272037494,85.62425028581251,293.2732895461294,10.0,1.7029253365180643,1.6579205974462974,0.9567919978429955
10,42,SOFT,2023,British_Grand_Prix,R,91.539,43272367.00983752,3963.519780825044,489.7702808076879,63.46151534351444,0.3457658347149887,81.98763385024763,222.8898240658188,14.0,1.7185706355124284,-0.06464116440602044,2.36675124849169
