Driver,LapNumber,LapTimeSeconds,Compound,TyreLife,Avg_Speed_mps,Avg_Throttle,Brake_Aggression,MeanAbs_Jerk_Long,MeanAbs_Jerk_Lat,Max_Lateral_g,Max_Longitudinal_g,Energy_Index,Year,Event,SessionType
43,5,89.411,HARD,2.0,58.39167566220269,65.14730729353504,0.3814889916488458,3656.105811459684,453.6774180282748,102.97171847714338,346.78796203215165,35958409.34533044,2024,Abu_Dhabi_Grand_Prix,R
44,44,87.278,MEDIUM,11.0,59.77797263851047,70.95905410624155,0.3764411166291709,3537.001766727085,461.2104250853431,96.86398525558911,346.03523092870074,34664296.575521804,2024,Abu_Dhabi_Grand_Prix,R
55,55,87.765,HARD,30.0,59.42759486547728,69.66010089260836,0.3775796890198828,3920.760049332959,489.2005741319673,100.06896208070908,787.6352835382241,38477637.54363806,2024,Abu_Dhabi_Grand_Prix,R
61,56,89.121,HARD,34.0,58.549862798200735,69.69736561877588,0.3585861775716986,3580.070927426096,448.4959108534761,99.85191683463673,442.2322163376277,34192513.23182038,2024,Abu_Dhabi_Grand_Prix,R
63,56,88.195,HARD,30.0,59.50768788296272,70.39051395245575,0.3739010122297687,4026.188382110564,451.11848838114463,118.72414718149484,681.5553099345813,40038340.85508186,2024,Abu_Dhabi_Grand_Prix,R
77,14,89.482,HARD,8.0,58.34469439028643,69.34957802876347,0.3795808039695296,3758.231849793724,464.61632480820566,120.51999167314224,682.0401063598978,36527634.56663201,2024,Abu_Dhabi_Grand_Prix,R
81,51,87.69,HARD,19.0,59.41583928556652,67.01550886399473,0.3497937754936042,3827.523899442384,468.4467361527899,122.03774759327544,614.0232041270409,37214839.47249706,2024,Abu_Dhabi_Grand_Prix,R
1,50,106.05,HARD,17.0,55.782957337632695,64.42418204309453,0.4210128164944486,3490.4405302035366,316.26495434634467,89.9866841427816,597.9124629266776,39871850.913116336,2022,Azerbaijan_Grand_Prix,R
3,44,108.276,MEDIUM,11.0,54.766155509318914,63.0808424061352,0.3976688462946351,3767.821417665809,294.6445273884571,111.68060870476684,826.5356506942907,41817074.33940615,2022,Azerbaijan_Grand_Prix,R
4,37,107.997,HARD,17.0,54.891488576291096,64.99247240890503,0.407628784681584,3505.77299204114,319.17550956814466,101.33737655036435,279.8133895046292,38201059.74904297,2022,Azerbaijan_Grand_Prix,R
5,41,108.206,HARD,33.0,54.765836495608426,64.85641298699518,0.3919190103385323,3706.50193862312,336.06479442157706,129.84082369891806,583.4543595939716,40832978.56660836,2022,Azerbaijan_Grand_Prix,R
6,37,109.583,HARD,20.0,54.06028030527439,62.39363677028202,0.4174117592286132,3376.5068586139137,338.1260294068096,113.82367965637047,245.6148953807443,36207068.10689582,2022,Azerbaijan_Grand_Prix,R
10,39,108.519,HARD,30.0,54.6672936037584,65.38797439180375,0.3777207709334076,3424.8040137302364,306.37989075709856,106.2999572642168,264.30470651985416,36941797.16064652,2022,Azerbaijan_Grand_Prix,R
11,36,106.046,HARD,3.0,55.93287248535487,66.28396615478805,0.4028511478903026,3634.7387714633983,295.6779128875953,107.63794063100224,360.03409652250724,38634072.97286787,2022,Azerbaijan_Grand_Prix,R
14,49,107.989,HARD,31.0,54.93525026210465,65.10908044495284,0.4159323154937354,3339.8946970723687,316.7352636523475,118.0108439614392,226.26459024298583,36658640.51109293,2022,Azerbaijan_Grand_Prix,R
16,13,107.531,HARD,4.0,55.24735613489051,68.23614857734616,0.4061939389466587,3910.05134697585,316.87321279463987,89.73408466901742,686.2892724592487,44852064.93444501,2022,Azerbaijan_Grand_Prix,R
18,38,108.038,MEDIUM,9.0,54.92913730595345,64.58798235578463,0.4048287529952902,3439.3260923004477,318.68472877185167,106.239084873399,562.668766716942,38862566.27273312,2022,Azerbaijan_Grand_Prix,R
20,12,108.789,HARD,3.0,54.46652150806812,65.22022795064146,0.4184989566269828,4168.413281766459,358.93204034420154,226.0669601877452,784.7292228247046,47395390.00574157,2022,Azerbaijan_Grand_Prix,R
