Driver,LapNumber,Compound,Year,Event,SessionType,LapTimeSeconds,Energy_per_m,PC1,PC2,PC3
21,52,HARD,2023,Canadian_Grand_Prix,R,76.656,5456.958642850058,-2.564554349103344,-1.1019274750178985,0.9479010942467295
23,68,HARD,2023,Canadian_Grand_Prix,R,76.917,5824.311953377255,-1.9649289874830465,0.7448825088344736,1.774748804795483
24,58,HARD,2023,Canadian_Grand_Prix,R,77.09,6642.2549223194455,0.21951581127818703,2.4465442308830303,0.31305506341912986
27,37,HARD,2023,Canadian_Grand_Prix,R,77.232,6193.52322014823,-1.3540015799786786,0.8081713611339234,0.3111112274383336
31,63,HARD,2023,Canadian_Grand_Prix,R,76.782,5803.751552796203,-2.4927988906792122,0.37847136316053454,0.9330872073143534
44,47,MEDIUM,2023,Canadian_Grand_Prix,R,75.396,5598.008956646801,0.05675273362568107,-2.4461032091064934,-0.8524591513540214
55,47,HARD,2023,Canadian_Grand_Prix,R,75.911,5447.782202225813,-1.3595487621332405,-1.3154969863743766,1.3464101949760579
63,44,HARD,2023,Canadian_Grand_Prix,R,77.097,6346.841869457521,-0.13695125527008864,2.5660865731029325,0.4380547974112708
77,52,MEDIUM,2023,Canadian_Grand_Prix,R,76.625,5798.39982941301,-1.3006628390433868,-0.7456862211479487,-1.589710090534679
81,59,HARD,2023,Canadian_Grand_Prix,R,76.598,6203.067387575491,2.2945852330403746,1.2875290703619375,1.318206847801617
1,61,SOFT,2023,Spanish_Grand_Prix,R,76.33,6502.434801694296,2.4890475484361856,-3.4885503552323693,0.81835318521129
2,41,HARD,2023,Spanish_Grand_Prix,R,79.247,6681.507595807076,-0.7195063133973012,2.822032470100747,-0.3423859712534123
4,55,SOFT,2023,Spanish_Grand_Prix,R,77.182,6573.283655600348,1.9764786072827967,-1.7603750152365485,-0.24755773702369246
10,41,HARD,2023,Spanish_Grand_Prix,R,78.375,6932.633061194821,1.5130874667999532,1.675773090747239,0.2410113161360026
11,52,SOFT,2023,Spanish_Grand_Prix,R,76.666,6397.608973371417,1.4800666972273941,-3.200257295035109,0.018973798397173967
14,49,HARD,2023,Spanish_Grand_Prix,R,78.083,6588.727413812178,0.040058585304214044,0.7079880102669306,0.5771221504598413
16,52,HARD,2023,Spanish_Grand_Prix,R,78.357,6422.224685287683,-1.3770371940656136,0.31031091799882576,1.966756735253389
18,56,HARD,2023,Spanish_Grand_Prix,R,78.722,6226.479810588123,-1.9026804374071309,-0.1854777219421786,1.6952506546506483
20,44,MEDIUM,2023,Spanish_Grand_Prix,R,78.069,6488.1691503485845,-1.0257121874898716,-0.5312914642567267,-2.0579643815842594
21,41,MEDIUM,2023,Spanish_Grand_Prix,R,78.594,6672.115398162487,-0.11309970737966399,-0.027255090969517736,-2.04280517981252
22,59,MEDIUM,2023,Spanish_Grand_Prix,R,78.904,6160.58599790183,-1.9496588317423873,-1.6002430049074141,-0.2132926018093547
23,59,MEDIUM,2023,Spanish_Grand_Prix,R,79.133,6772.703210861178,-0.6434549221127591,1.6181990996341327,-1.934966972110011
24,38,HARD,2023,Spanish_Grand_Prix,R,78.753,6690.639764640497,0.21092727712669784,1.5374502255244322,0.18719003648212043
27,53,MEDIUM,2023,Spanish_Grand_Prix,R,78.776,6545.733404697178,-1.2973333700032006,0.15205718992035247,-1.9383687600270938
31,54,HARD,2023,Spanish_Grand_Prix,R,78.946,6444.270291832504,-3.7756926021515285,0.5030492638450033,0.7887044942292607
44,62,SOFT,2023,Spanish_Grand_Prix,R,76.676,7230.515440792215,3.9832531260454114,-1.11864486873456,0.05748470706754507
55,60,HARD,2023,Spanish_Grand_Prix,R,78.403,6570.016440016792,-0.00693389359056286,1.4290234860458033,0.9337208419873433
63,48,SOFT,2023,Spanish_Grand_Prix,R,77.875,6727.070905530267,2.5825681613117832,-0.814752242530144,-0.6118261177664125
77,50,HARD,2023,Spanish_Grand_Prix,R,78.242,6406.788276893308,-1.5285414501444834,-0.5396174310105716,1.2515391876933415
81,41,MEDIUM,2023,Spanish_Grand_Prix,R,78.679,6701.48660086065,0.7425001474101202,0.3998487516074129,-1.9813293279601654
3,43,MEDIUM,2021,Saudi_Arabian_Grand_Prix,R,92.716,4630.676848670151,0.08513156354040911,-0.31699937546520335,-1.2616862978013172
4,49,HARD,2021,Saudi_Arabian_Grand_Prix,R,91.914,4565.55189621028,1.280840667350522,0.291294264985135,2.005597334422017
5,41,MEDIUM,2021,Saudi_Arabian_Grand_Prix,R,94.03,4364.432920168205,-2.5715585755305357,-1.5239620106778353,-1.0988074299722685
6,49,HARD,2021,Saudi_Arabian_Grand_Prix,R,92.751,4481.248052673252,-1.586293138492308,-0.6218919708731093,1.8619808045989072
