RelativeTime_s,Speed,Throttle,Brake,nGear,RPM,DRS,Distance,RelativeDistance,X,Y,Driver,LapNumber,Compound,TyreLife,Speed_mps,VX,VY,AX_long,AY_lat,Jerk_long,Jerk_lat,TireEnergyProxy
32.1,323.8500096,99.16672,True,8,11304.4006144,0,2045.4677824269768,0.4755371990623896,-1653.0,4972.0,7,57,MEDIUM,21,89.0343157240787,875.0979081730213,-27.445215249649664,-423.420444905855,-13.027548304460966,42.841478181610455,83.99145796269039,7697911.412224078
32.2,308.7749952,15.41664,True,8,10339.5996928,0,2062.718385848985,0.4795476771075163,-1481.0,4966.0,7,57,MEDIUM,21,87.26269734334832,804.4999389440591,-24.69858294178266,-561.8397866611388,-12.302005136146526,-76.87289463579702,4.0696274174284675,7744122.878175345
32.3,306.0,0.0,True,8,10162.0,0,2065.6911111111112,0.4802387862302699,-1450.304656657655,4965.006178032821,7,57,MEDIUM,21,84.37641677285706,762.8583682088868,-21.537840462860913,-438.7950238330144,-12.213622820975273,1200.900074929695,28.157531620406353,7778542.159924019
32.4,306.0,0.0,True,8,10162.0,0,2065.6911111111112,0.4802387862302699,-1450.304656657655,4965.006178032821,7,57,MEDIUM,21,80.66565718035078,716.8448280935786,-19.780111358950307,-321.65977167519975,-6.670498812065255,1633.5015648312306,21.22587715777308,7802087.303957519
32.5,262.0,0.0,True,8,8782.0,0,2083.157777777777,0.4842994953819768,-1263.743076550443,4960.11890705953,7,57,MEDIUM,21,76.29505727428152,698.5876889529231,-18.429793050290755,-112.09471086676827,-7.968447389420656,1582.2765021676078,10.855559090606105,7810477.686644513
32.6,262.0,0.0,True,8,8782.0,0,2083.157777777777,0.4842994953819768,-1263.743076550443,4960.11890705953,7,57,MEDIUM,21,71.78198029664188,694.4757127593357,-17.595736508465052,-5.204471241678191,-4.499386993944034,2143.323514297791,47.76047387322614,7811151.812304132
32.7,236.87082346666668,0.0,True,8,8842.445857066667,0,2093.5249967515765,0.4867097011623961,-1156.0,4958.0,7,57,MEDIUM,21,67.48357253285009,697.5699212713005,-17.50383996545679,316.56999199279,1.5836473852245716,-2110.009030830894,15.835941660168979,7833352.2390428055
32.8,225.0,0.0,True,7,8871.0,0,2098.157777777777,0.4877867456076794,-1109.261246608928,4956.671002408567,7,57,MEDIUM,21,62.71764721678343,757.7618430408779,-19.50057895914142,-427.20627740785704,-1.3321986619102382,-6629.6513631719035,-28.697612845815534,7865836.000620413
32.9,211.98334506666663,0.0,True,7,8934.308276266667,0,2106.392072280201,0.4897010819651513,-1028.0,4954.0,7,57,MEDIUM,21,58.28564055875009,612.1637983830431,-15.039433019755961,-1009.3602806415907,-4.1558751839385355,488.42618711635,0.44492030941035265,7927898.511648235
33.0,203.0,0.0,True,7,8978.0,0,2111.691111111111,0.4909330202557577,-973.5465955282376,4952.495128061068,7,57,MEDIUM,21,55.44951474885627,555.9710951736787,-13.711626323902237,-329.52103998458705,-1.2432146000281676,3012.8676172800147,15.982952593602015,7946293.639891616
